account_id,account_name,region,country,industry,account_tier,employee_size,estimated_annual_revenue,account_status,contract_start_date,contract_end_date,use_case,sales_rep_name,sales_manager_name
ACC-000110,Apex Analytics,APJ,Australia,Media & Entertainment,Enterprise,10000,180000000,Active,2020-04-20,2021-08-08,Real-time Analytics,Atlas Edwards,Priya Sharma
ACC-000110,Apex Analytics,APJ,Australia,Media & Entertainment,Enterprise,10000,180000000,Active,2020-04-20,2021-08-08,Real-time Analytics,Orion Evans,Hiroshi Tanaka
ACC-000111,Matrix Intelligence,APJ,Japan,Telecommunications,Enterprise,10500,186000000,Active,2020-04-21,2021-08-10,Data Engineering,Neo Parker,Hiroshi Tanaka
ACC-000112,Quantum Partners,EMEA,France,Energy & Utilities,Enterprise,11000,336000000,Active,2020-04-22,2021-08-12,Customer 360,Phoenix Wright,Lisa Wang
ACC-000113,Synergy Associates,AMER,United States,Government & Public Sector,Enterprise,11500,230000000,Active,2020-04-23,2021-08-14,IoT Analytics,Cameron Lee,Jennifer Rodriguez
ACC-000113,Synergy Associates,AMER,United States,Government & Public Sector,Enterprise,11500,230000000,Active,2020-04-23,2021-08-14,IoT Analytics,Casey Wilson,Sarah Johnson
ACC-000114,Catalyst Consulting,EMEA,Spain,Education,Enterprise,12000,352000000,Active,2020-04-24,2021-08-16,Financial Analytics,Nova Roberts,Emma Larsson
ACC-000115,Pinnacle Services,AMER,United States,Transportation & Logistics,Enterprise,12500,250000000,Active,2020-04-25,2021-08-18,Marketing Analytics,Skyler Hall,David Thompson
ACC-000115,Pinnacle Services,AMER,United States,Transportation & Logistics,Enterprise,12500,250000000,Active,2020-04-25,2021-08-18,Marketing Analytics,Sage Thompson,Michael Chen
ACC-000115,Pinnacle Services,AMER,United States,Transportation & Logistics,Enterprise,12500,250000000,Active,2020-04-25,2021-08-18,Marketing Analytics,Avery Johnson,Michael Chen
ACC-000115,Pinnacle Services,AMER,United States,Transportation & Logistics,Enterprise,12500,250000000,Active,2020-04-25,2021-08-18,Marketing Analytics,Alex Rivera,Sarah Johnson
ACC-000116,Zenith Solutions,APJ,Japan,Real Estate,Mid-Market,3100,22000000,Active,2020-04-26,2021-08-20,Supply Chain Analytics,Iris Stewart,Priya Sharma
ACC-000117,Vortex Analytics,AMER,Canada,Insurance,Mid-Market,3200,64000000,Active,2020-04-27,2021-08-22,Risk & Compliance,Quinn Anderson,Michael Chen
ACC-000118,Phoenix Intelligence,AMER,United States,Automotive,Mid-Market,3300,66000000,Active,2020-04-28,2021-08-24,Operational Analytics,Parker Allen,David Thompson
ACC-000120,Global Solutions,APJ,Japan,Financial Services,Mid-Market,500,6000000,New,2020-04-30,2021-08-28,Data Analytics & BI,Zara Collins,Priya Sharma
ACC-000120,Global Solutions,APJ,Japan,Financial Services,Mid-Market,500,6000000,New,2020-04-30,2021-08-28,Data Analytics & BI,Zen Phillips,Hiroshi Tanaka
ACC-000121,Beta Inc,AMER,United States,Healthcare & Life Sciences,Mid-Market,600,12000000,Churned,2020-05-01,2021-08-30,Machine Learning & AI,Morgan Davis,Sarah Johnson
ACC-000124,Quantum Analytics,EMEA,Spain,Manufacturing,Mid-Market,900,44000000,Active,2020-05-04,2021-09-05,Customer 360,Phoenix Wright,Lisa Wang
ACC-000125,Synergy Intelligence,LATAM,Argentina,Media & Entertainment,Mid-Market,1000,8000000,Active,2020-05-05,2021-09-07,IoT Analytics,Rio Rogers,Carlos Silva
ACC-000125,Synergy Intelligence,LATAM,Argentina,Media & Entertainment,Mid-Market,1000,8000000,Active,2020-05-05,2021-09-07,IoT Analytics,Cruz Morris,Carlos Silva
ACC-000126,Catalyst Partners,AMER,United States,Telecommunications,Mid-Market,1100,22000000,Active,2020-05-06,2021-09-09,Financial Analytics,Hayden Clark,Jennifer Rodriguez
ACC-000128,Zenith Consulting,EMEA,Spain,Government & Public Sector,Mid-Market,1300,12500000,Active,2020-05-08,2021-09-13,Supply Chain Analytics,Luna Perez,Emma Larsson
ACC-000129,Vortex Services,AMER,United States,Education,Mid-Market,1400,28000000,Active,2020-05-09,2021-09-15,Risk & Compliance,Emery Young,David Thompson
ACC-000130,Phoenix Solutions,APJ,Singapore,Transportation & Logistics,Mid-Market,1500,16000000,Active,2020-05-10,2021-09-17,Operational Analytics,Iris Stewart,Priya Sharma
ACC-000132,Nexus Intelligence,AMER,Canada,Insurance,Mid-Market,1700,34000000,Active,2020-05-12,2021-09-21,Data Analytics & BI,Blake Miller,Jennifer Rodriguez
ACC-000132,Nexus Intelligence,AMER,Canada,Insurance,Mid-Market,1700,34000000,Active,2020-05-12,2021-09-21,Data Analytics & BI,Taylor Brooks,Sarah Johnson
ACC-000133,Vertex Partners,AMER,United States,Automotive,Mid-Market,1800,36000000,Active,2020-05-13,2021-09-23,Machine Learning & AI,Skyler Hall,David Thompson
ACC-000133,Vertex Partners,AMER,United States,Automotive,Mid-Market,1800,36000000,Active,2020-05-13,2021-09-23,Machine Learning & AI,Sage Thompson,Michael Chen
ACC-000133,Vertex Partners,AMER,United States,Automotive,Mid-Market,1800,36000000,Active,2020-05-13,2021-09-23,Machine Learning & AI,Avery Johnson,Michael Chen
ACC-000133,Vertex Partners,AMER,United States,Automotive,Mid-Market,1800,36000000,Active,2020-05-13,2021-09-23,Machine Learning & AI,Alex Rivera,Sarah Johnson
ACC-000134,Apex Associates,EMEA,Sweden,Professional Services,Mid-Market,1900,21500000,Active,2020-05-14,2021-09-25,Real-time Analytics,Rain Carter,James Mueller
ACC-000134,Apex Associates,EMEA,Sweden,Professional Services,Mid-Market,1900,21500000,Active,2020-05-14,2021-09-25,Real-time Analytics,River Scott,Lisa Wang
ACC-000134,Apex Associates,EMEA,Sweden,Professional Services,Mid-Market,1900,21500000,Active,2020-05-14,2021-09-25,Real-time Analytics,Rowan King,Lisa Wang
ACC-000135,Matrix Consulting,AMER,Mexico,Financial Services,Mid-Market,2000,40000000,Active,2020-05-15,2021-09-27,Data Engineering,Quinn Anderson,Michael Chen
ACC-000136,Quantum Services,AMER,Canada,Healthcare & Life Sciences,Mid-Market,2100,42000000,Active,2020-05-16,2021-09-29,Customer 360,Parker Allen,David Thompson
ACC-000139,Pinnacle Intelligence,APJ,Singapore,Manufacturing,Mid-Market,2400,25000000,Active,2020-05-19,2021-10-05,Marketing Analytics,Neo Parker,Hiroshi Tanaka
ACC-000142,Phoenix Consulting,APJ,Australia,Energy & Utilities,Mid-Market,2700,8000000,At Risk,2020-05-22,2021-10-11,Operational Analytics,Kai Campbell,Hiroshi Tanaka
ACC-000145,Vertex Analytics,EMEA,Spain,Transportation & Logistics,Mid-Market,3000,38000000,Active,2020-05-25,2021-10-17,Machine Learning & AI,Star Turner,Emma Larsson
ACC-000145,Vertex Analytics,EMEA,Spain,Transportation & Logistics,Mid-Market,3000,38000000,Active,2020-05-25,2021-10-17,Machine Learning & AI,Sky Nelson,James Mueller
ACC-000145,Vertex Analytics,EMEA,Spain,Transportation & Logistics,Mid-Market,3000,38000000,Active,2020-05-25,2021-10-17,Machine Learning & AI,Storm Adams,Lisa Wang
ACC-000145,Vertex Analytics,EMEA,Spain,Transportation & Logistics,Mid-Market,3000,38000000,Active,2020-05-25,2021-10-17,Machine Learning & AI,Sage Green,Lisa Wang
ACC-000146,Apex Intelligence,EMEA,Netherlands,Real Estate,SMB,200,2450000,Active,2020-05-26,2021-10-19,Real-time Analytics,Rain Carter,James Mueller
ACC-000146,Apex Intelligence,EMEA,Netherlands,Real Estate,SMB,200,2450000,Active,2020-05-26,2021-10-19,Real-time Analytics,River Scott,Lisa Wang
ACC-000146,Apex Intelligence,EMEA,Netherlands,Real Estate,SMB,200,2450000,Active,2020-05-26,2021-10-19,Real-time Analytics,Rowan King,Lisa Wang
ACC-000147,Matrix Partners,AMER,United States,Insurance,SMB,225,2400000,Active,2020-05-27,2021-10-21,Data Engineering,Emery Young,David Thompson
ACC-000148,Quantum Associates,AMER,United States,Automotive,SMB,250,2600000,Active,2020-05-28,2021-10-23,Customer 360,Drew Garcia,Michael Chen
ACC-000149,Synergy Consulting,AMER,United States,Professional Services,SMB,275,2800000,Active,2020-05-29,2021-10-25,IoT Analytics,Cameron Lee,Jennifer Rodriguez
ACC-000149,Synergy Consulting,AMER,United States,Professional Services,SMB,275,2800000,Active,2020-05-29,2021-10-25,IoT Analytics,Casey Wilson,Sarah Johnson
ACC-000150,Catalyst Services,AMER,United States,Financial Services,SMB,300,3000000,Active,2020-05-30,2021-10-27,Financial Analytics,Blake Miller,Jennifer Rodriguez
ACC-000150,Catalyst Services,AMER,United States,Financial Services,SMB,300,3000000,Active,2020-05-30,2021-10-27,Financial Analytics,Taylor Brooks,Sarah Johnson
ACC-000152,Zenith Analytics,AMER,Canada,Technology,SMB,350,3400000,Active,2020-06-01,2021-10-31,Supply Chain Analytics,Reese Lewis,David Thompson
ACC-000152,Zenith Analytics,AMER,Canada,Technology,SMB,350,3400000,Active,2020-06-01,2021-10-31,Supply Chain Analytics,Riley Martinez,Michael Chen
ACC-000153,Vortex Intelligence,APJ,Singapore,Retail & E-commerce,SMB,375,1500000,Active,2020-06-02,2021-11-02,Risk & Compliance,Neo Parker,Hiroshi Tanaka
ACC-000154,Phoenix Partners,AMER,United States,Manufacturing,SMB,400,3800000,Active,2020-06-03,2021-11-04,Operational Analytics,Parker Allen,David Thompson
ACC-000155,Titan Associates,APJ,Japan,Media & Entertainment,SMB,425,1700000,Active,2020-06-04,2021-11-06,Data Science Platform,Zara Collins,Priya Sharma
ACC-000155,Titan Associates,APJ,Japan,Media & Entertainment,SMB,425,1700000,Active,2020-06-04,2021-11-06,Data Science Platform,Zen Phillips,Hiroshi Tanaka
ACC-000157,Vertex Services,EMEA,United Kingdom,Energy & Utilities,SMB,475,1850000,Active,2020-06-06,2021-11-10,Machine Learning & AI,Star Turner,Emma Larsson
ACC-000157,Vertex Services,EMEA,United Kingdom,Energy & Utilities,SMB,475,1850000,Active,2020-06-06,2021-11-10,Machine Learning & AI,Sky Nelson,James Mueller
ACC-000157,Vertex Services,EMEA,United Kingdom,Energy & Utilities,SMB,475,1850000,Active,2020-06-06,2021-11-10,Machine Learning & AI,Storm Adams,Lisa Wang
ACC-000157,Vertex Services,EMEA,United Kingdom,Energy & Utilities,SMB,475,1850000,Active,2020-06-06,2021-11-10,Machine Learning & AI,Sage Green,Lisa Wang
ACC-000160,Global Solutions,AMER,United States,Transportation & Logistics,SMB,50,1000000,New,2020-06-09,2021-11-16,Customer 360,Jordan Kim,Sarah Johnson
ACC-000162,Catalyst Associates,APJ,Japan,Insurance,SMB,100,1200000,At Risk,2020-06-11,2021-11-20,Financial Analytics,Zara Collins,Priya Sharma
ACC-000162,Catalyst Associates,APJ,Japan,Insurance,SMB,100,1200000,At Risk,2020-06-11,2021-11-20,Financial Analytics,Zen Phillips,Hiroshi Tanaka
ACC-000164,Zenith Services,AMER,Mexico,Professional Services,SMB,150,1800000,Active,2020-06-13,2021-11-24,Supply Chain Analytics,Finley White,Jennifer Rodriguez
ACC-000167,Titan Intelligence,AMER,United States,Technology,SMB,225,2400000,Active,2020-06-16,2021-11-30,Data Science Platform,Cameron Lee,Jennifer Rodriguez
ACC-000167,Titan Intelligence,AMER,United States,Technology,SMB,225,2400000,Active,2020-06-16,2021-11-30,Data Science Platform,Casey Wilson,Sarah Johnson
